company,notes
Hyundai Motor Group Metaplant America,HMGMA EV plant in Bryan County
HMGMA,alias of Hyundai Motor Group Metaplant America
Rivian,EV plant announced near Social Circle / Stanton Springs
Kia Georgia,West Point GA plant building EV models
SK Battery America,battery cell plant in Commerce GA
HL-GA Battery Company,Hyundai-LGES JV battery plant in Bryan County
Hyundai Mobis,EV module plants near the Metaplant
Hyundai Glovis,logistics for HMGMA
LG Energy Solution,HL-GA Battery JV partner
Aurubis Richmond,copper recycling in Augusta GA
Duckyang,seat/interior supplier for HMGMA
Seoyon E-Hwa,interior parts supplier for HMGMA
Sewon America,body parts supplier
Hanon Systems,thermal management supplier
Joon Georgia,parts supplier for HMGMA
Ecoplastic,plastic parts supplier for HMGMA
Ascend Elements,battery materials / recycling in Covington GA
Anovion,synthetic graphite anode materials in Bainbridge GA
Solvay,battery materials Augusta GA
Qcells,solar + energy in Dalton/Cartersville GA
FREYR Battery,battery plant announced in Coweta County
Archer Aviation,eVTOL manufacturing in Covington GA
