location,notes
Bryan County,HMGMA site
Ellabell,HMGMA site town
Savannah,port + regional hub
Bulloch County,near HMGMA
Chatham County,Savannah area
Commerce Georgia,SK Battery America
Jackson County Georgia,SK Battery area
West Point GA,Kia Georgia
Bartow County,battery plants (Hyundai-SK)
Cartersville,Hyundai-SK battery plant / Qcells
Covington Georgia,Ascend Elements / Archer Aviation
Stanton Springs,Rivian site area
Social Circle,Rivian site area
Morgan County Georgia,Rivian site area
Walton County Georgia,Rivian site area
Coweta County,FREYR site
Bainbridge Georgia,Anovion
Augusta Georgia,Aurubis / Solvay
Dalton Georgia,Qcells
Atlanta,EV charging + HQ activity
LaGrange Georgia,Kia supplier corridor
Troup County,Kia supplier corridor
